keys,es,en,pt,es_CL,fr,de,ru,it
credits_coding,Programación y diseño,Coding and Design,Programação e design,Programación y diseño bacán,Programmation et conception,Programmierung und Design,Программирование и дизайн,Programmazione e design
credits_src,"Accede al codigo fuente aqui",Access the source code here,Acesse o código fonte aqui,"Accede al código fuente aquí, weón",Accède au code source ici,Zugriff auf den Quellcode hier,Доступ к исходному коду здесь,Accedi al codice sorgente qui
lang_es,Español,Spanish,Espanhol,Español,Espagnol,Spanisch,Испанский,Spagnolo
lang_en,Inglés,English,Inglês,Inglés,Anglais,Englisch,Английский,Inglese
lang_ja,Japonés,Japanese,Japonês,Japonés,Japonais,Japanisch,Японский,Giapponese
lang_fr,Francés,French,Francês,Francés,Français,Französisch,Французский,Francese
lang_pt,Portugués, Portuguese,Português, Portugués, Portugais, Portugiesisch, Португальский, Portoghese
lang_de,Alemán, German, Alemão, Alemán, Allemand, Deutsch, Немецкий, Tedesco
lang_ru,Ruso, Russian, Russo,Ruso, Russe, Russisch, Русский, Russo
lang_it,Italiano, Italian, Italiano, Italiano, Italien, Italienisch, Итальянский, Italiano
lang_zh_CN,Chino (Simplificado), Chinese (Simplified), Chinês (Simplificado),Chino (Simplificado), Chinois (Simplifié), Chinesisch (Vereinfacht), Китайский (упрощенный), Cinese (Semplificato)
lang_es_CL,Chileno, Chilean Spanish, Chileno, Chileno ql, Chilien (Espagnol), Chilenisch (Spanisch), Чилийский (испанский), Spagnolo (Cileno)
archiv1_title,Mi primera suma,My First Addition,Minha Primeira Soma,Mi primera suma po primera vez weón,Mon premier ajout,Meine erste Addition,Мое первое сложение,La mia prima somma
archiv1_desc,Realiza una suma por primera vez,Perform an addition for the first time,Faz uma soma pela primeira vez,"Hazte una suma por primera vez, weón",Faites une addition pour la première fois,Führen Sie zum ersten Mal eine Addition durch,Сложение в первый раз,Fai un'addizione per la prima volta
archiv2_title,Mi primera resta,My First Subtraction,Minha Primeira Subtração,Mi primera resta po loco,Ma première soustraction,Meine erste Subtraktion,Мое первое вычитание,La mia prima sottrazione
archiv2_desc,Realiza una resta por primera vez,Perform a subtraction for the first time,Faz uma subtração pela primeira vez,"Hazte una resta por primera vez, hermano",Faites une soustraction pour la première fois,Führen Sie zum ersten Mal eine Subtraktion durch,Вычитание в первый раз,Fai una sottrazione per la prima volta
archiv3_title,Mi primera multiplicación,My First Multiplication,Minha Primeira Multiplicação,Mi primera multiplicación loco,Ma première multiplication,Meine erste Multiplikation,Мое первое умножение,La mia prima moltiplicazione
archiv3_desc,Realiza una multiplicación por primera vez,Perform a multiplication for the first time,Faz uma multiplicação pela primeira vez,"Hazte una multiplicación por primera vez, weon",Faites une multiplication pour la première fois,Führen Sie zum ersten Mal eine Multiplikation durch,Умножение в первый раз,Esegui una moltiplicazione per la prima volta
archiv4_title,Mi primera división,My First Division,Minha Primeira Divisão,Mi primera división compadre,Ma première division,Meine erste Division,Мое первое деление,La mia prima divisione
archiv4_desc,Realiza una división por primera vez,Perform a division for the first time,Faz uma divisão pela primeira vez,"Hazte una división por primera vez, weón",Faites une division pour la première fois,Führen Sie zum ersten Mal eine Division durch,Деление в первый раз,Esegui una divisione per la prima volta
archiv5_title,Operación imposible,Impossible Operation,Operação Impossível,La wea imposible,Opération impossible,Unmögliche Operation,Невозможная операция,Operazione impossibile
archiv5_desc,Trata de dividir entre 0,Try dividing by 0,Tente dividir por 0,"Intenta dividir por cero, y cágala no más!",Essayez de diviser par zéro,"Versuchen Sie, durch 0 zu dividieren",Попробуйте разделить на 0,Prova a dividere per 0
archiv6_title,Templo de las arenas,Sand Temple,Templo das Areias,Templo de las arenas loco,Temple des sables,Sandtempel,Храм песков,Tempio delle sabbie
archiv6_desc,Mata a la serpiente usando el hacha,Kill the serpent using the axe,Mate a cobra usando o machado,"Mata a la serpiente con el hacha, loco",Tue le serpent avec la hache,Töte die Schlange mit der Axt,Убейте змею топором,Uccidi il serpente con l'ascia
archiv7_title,Código secreto,Secret Code,Código Secreto,Código secreto perdido,Code secret,Geheimer Code,Секретный код,Codice segreto
archiv7_desc,Activa el antiguo código secreto,Activate the ancient secret code,Ative o antigo código secreto,"Activa el código antiguo, loco",Activez l'ancien code secret,Aktivieren Sie den alten geheimen Code,Активируйте древний секретный код,Attiva l'antico codice segreto
archiv8_title,Nice,Nice,Nice,Nice,Sympa,Nett,Круто,Bello
archiv8_desc,Obtén como resultado un número pícaro,Get a cheeky number as the result,Obtenha como resultado um número travesso,"Saca un número pícaro, po",Obtenez un numéro espiègle comme résultat,Holen Sie eine freche Zahl als Ergebnis,Получите озорное число в результате,Ottieni un numero malizioso come risultato
archiv9_title,¿Qué pasa mi hermano?,What's Up My Bro,"E aí, irmão","¿Qué wea, compadre?","Ça va, mon pote?","Wie läuft's, mein Freund?","Как дела, братан?","Che succede, frate?"
archiv9_desc,Obtén como resultado un número chistoso,Get a funny number as the result,Obtenha como resultado um número engraçado,"Saca un número chistoso, no más",Obtenez un numéro drôle comme résultat,Holen Sie eine lustige Zahl als Ergebnis,Получите смешное число в результате,Ottieni un numero divertente come risultato
archiv10_title,Salve Satan,Hail Satan,Salve Satanás,"Salve Satán, compadre",Gloire à Satan,Hoch Satan,Да здравствует Сатана,Salve Satana
archiv10_desc,Obtén como resultado un número diabólico,Get a demonic number as the result,Obtenha como resultado um número demoníaco,Saca un número del diablo,Obtenez un numéro démoniaque comme résultat,Holen Sie eine teuflische Zahl als Ergebnis,Получите дьявольское число в результате,Ottieni un numero demoniaco come risultato
archiv11_title,2+2=<°)))><,2+2=<°)))><,2+2=<°)))><,2+2=<°)))><,2+2=<°)))><,2+2=<°)))><,2+2=<°)))><,2+2=<°)))><
archiv11_desc,Obtén el resultado inesperado,Get the unexpected result,Obtenha o resultado inesperado,"Saca un resultado raro, po",Obtenez un résultat inattendu,Erhalten Sie ein unerwartetes Ergebnis,Получите неожиданный результат,Ottieni un risultato inaspettato
archiv12_title,Un nuevo look,A New Look,Um Novo Visual,"Un nuevo look, compadre",Nouveau look,Ein neuer Look,Новый образ,Un nuovo look
archiv12_desc,Cambia el fondo de pantalla,Change the wallpaper,Mude o papel de parede,"Cambia el fondo de pantalla, loco",Changez le fond d'écran,Ändern Sie das Hintergrundbild,Смените обои,Modifica lo sfondo
archiv13_title,Respeto al artista,Respect the Artist,Respeite o Artista,"Respeto al artista, maestro",Respectez l'artiste,Respekt für den Künstler,Уважение к художнику,Rispetto per l'artista
archiv13_desc,Entra a ver los créditos del juego,Go to see the game credits,Vá assistir aos créditos do jogo,"Métete a ver los créditos del juego, weón",Consultez les crédits du jeu,Gehen Sie die Spiel-Credits ansehen,Посмотрите титры игры,Vai a vedere i crediti del gioco
archiv14_title,Cúspide de la matemática,Peak of Mathematics,O Cume da Matemática,Cúspide de la wea,Sommet des mathématiques,Höhepunkt der Mathematik,Вершина математики,Vetta della matematica
archiv14_desc,Desbloquea todos los logros (junto con la calculadora dorada),Unlock all achievements (including the golden calculator),Desbloqueie todas as conquistas (incluindo a calculadora dourada),Desbloquea todos los logros (incluyendo la wea de oro),Débloquez tous les succès (y compris la calculatrice dorée),Schalten Sie alle Errungenschaften frei (einschließlich des goldenen Rechners),Разблокируйте все достижения (включая золотой калькулятор),Sblocca tutti i trofei (inclusa la calcolatrice dorata)
wip_message,"Esta es una versión en desarrollo del juego, algunas características pueden no estar completas","This is a development version of the game, some features may not be complete","Esta é uma versão em desenvolvimento do jogo, alguns recursos podem não estar completos","Oye, esta es una versión en pañales del juego, así que capaz que algunas cosas no estén listas todavía","Il s'agit d'une version en développement du jeu, certaines fonctionnalités peuvent être incomplètes.","Dies ist eine Entwicklungsversion des Spiels, einige Funktionen sind möglicherweise noch nicht vollständig.","Это версия игры в разработке, некоторые функции могут быть не завершены.","Questa è una versione di sviluppo del gioco, alcune funzionalità potrebbero non essere complete."
sumiko_dialog_test,"Hola, mi nombre es Sumiko","Hi, my name is Sumiko","Oi, meu nome é Sumiko","Hola, soy la Sumiko","Bonjour, je m'appelle Sumiko","Hallo, ich heiße Sumiko","Привет, меня зовут Сумико","Ciao, mi chiamo Sumiko"
sumiko_dialog1,"Eh, ¡Hola! ¿Es tu primera vez jugando?",Hey! Hi! Is this your first time playing?,Ei! Oi! É sua primeira vez jogando?,¡Wena! ¿Es primera vez que jugai?,"Eh, salut ! C'est ta première fois que tu joues ?","He, hallo! Ist das dein erstes Mal, dass du spielst?","Эй, привет! Ты впервые играешь?","Ehi, ciao! È la tua prima volta che giochi?"
sumiko_dialog2,"Deja me presento, mi nombre es Sumiko, y te doy la bienvenida a Calculator.","Let me introduce myself, my name is Sumiko, and I welcome you to Calculator.","Deixa eu me apresentar, meu nome é Sumiko, e te dou as boas-vindas ao Calculator.","Déjame presentarme, soy la Sumiko, y te doy la bienvenida al Calculator, poh.","Laisse-moi me présenter, je m'appelle Sumiko, et je te souhaite la bienvenue sur Calculator.","Lass mich mich vorstellen, ich heiße Sumiko, und heiße dich bei Calculator willkommen.","Позволь мне представиться, меня зовут Сумико, и добро пожаловать в Calculator.","Lascia che mi presenti, mi chiamo Sumiko, e ti do il benvenuto a Calculator."
sumiko_dialog3,"Aquí te voy a presentar la interfaz de usuario, ¡No te me pierdas tan rápido!","Let me introduce you to the user interface, don't get lost so fast!","Aqui vou te apresentar a interface de usuário, não se perca tão rápido!","Aquí te voy a mostrar la interfaz de usuario, ¡no te vayai a perder altiro!","Je vais te présenter l'interface utilisateur, ne te perds pas si vite !","Ich zeige dir die Benutzeroberfläche, verlier dich nicht so schnell!","Я покажу тебе интерфейс, не теряйся так быстро!","Ora ti mostro l'interfaccia utente, non sparire così in fretta!"
sumiko_dialog4,"En la esquina veras el menú de inicio desde el icono[home_icon], donde encontrarás la calculadora y diferentes opciones para personalizar tu experiencia","In the corner of the screen, you'll see the start menu, where you'll find the calculator and various options to customize your experience","No canto da tela, você verá o menu inicial, onde encontrará a calculadora e várias opções para personalizar sua experiência","En la esquina de la pantalla vai a cachar el menú de inicio, donde vais a encontrar la calculadora y varias opciones para dejar todo a tu pinta","Dans le coin de l'écran, tu verras le menu de démarrage, où tu trouveras la calculatrice et des options pour personnaliser ton expérience","In der Ecke des Bildschirms siehst du das Startmenü, wo du den Taschenrechner und verschiedene Optionen zur Personalisierung findest.","В углу экрана ты увидишь меню «Пуск», где найдёшь калькулятор и разные настройки для персонализации.","Nell'angolo dello schermo vedrai il menu iniziale, dove troverai la calcolatrice e diverse opzioni per personalizzare la tua esperienza"
sumiko_dialog5,"En la otra esquina verás la hora actual y las opciones de idiomas desde el icono[world_icon]","In the other corner, you'll see the current time and language options","No outro canto, você verá a hora atual e as opções de idiomas","En la otra esquina vai a cachar la hora actual y las opciones pa' cambiar el idioma","Dans l'autre coin, tu verras l'heure actuelle et les options de langue.","In der anderen Ecke siehst du die aktuelle Uhrzeit und die Spracheinstellungen.","В другом углу ты увидишь текущее время и настройки языка.","Nell'altro angolo vedrai l'ora corrente e le opzioni lingua"
sumiko_dialog6,Sientete comodo y disfruta de lo divertidas que son las matemáticas.,Feel comfortable and enjoy how fun math can be.,Sinta-se à vontade e divirta-se com o quão divertida a matemática pode ser.,Toma asiento nomás y pásalo la raja con lo entretenidas que son las mates.,Mets-toi à l'aise et profite de tout le fun des maths.,"Mach's dir bequem und genieße, wie lustig Mathe sein kann.","Расслабься и получай удовольствие от того, какими веселыми бывают математика.",Mettiti comodo e goditi quanto può essere divertente la matematica.
sumiko_dialog7,"Si necesitas algun consejo, en la esquina me tendras lista para llenarte de sabiduria.","If you need some advice, I'll be in the corner ready to fill you with wisdom.","Se precisar de um conselho, estarei no canto pronta para te encher de sabedoria.","Si te falta algún datito, voy a estar en la esquina lista pa' tirarte toda la sabiduría, ¿cachai?","Si tu as besoin d'un conseil, je serai dans le coin prête à te remplir de sagesse.","Wenn du einen Rat brauchst, werde ich in der Ecke sein, bereit, dich mit Weisheit zu füttern.","Если тебе нужен совет, я буду в углу готова поделиться с тобой мудростью.","Se hai bisogno di un consiglio, sarò nell'angolo pronta a riempirti di saggezza."
sumiko_dialog8,"¡Diviertete!","Have fun!","Divirta-se!","¡Pásalo bien, po!","Amuse-toi bien !","Viel Spaß!","Развлекайся!","Divertiti!"	
sumiko_end1,"¡Lo lograste! Has conseguido todos los logros","You did it! You got all the achievements!","Você conseguiu! Você obteve todas as conquistas!","¡Lo lograste, weón! Sacaste todos los logros, po.","Tu as réussi ! Tu as obtenu tous les succès !","Du hast es geschafft! Du hast alle Erfolge freigeschaltet!","Ты справился! Ты получил все достижения!","Ce l'hai fatta! Hai ottenuto tutti i trofei!"
sumiko_end2,"Ha sido una experiencia increíble haber explorado este viaje contigo","It has been an incredible experience to have explored this journey with you","Foi uma experiência incrível ter explorado essa jornada com você","Ha sido una experiencia increíble haber explorado este viaje contigo, weón.","Ça a été une expérience incroyable d'avoir exploré ce voyage avec toi !","Es war eine unglaubliche Erfahrung, diese Reise mit dir zu erkunden.","Это был невероятный опыт — исследовать это путешествие с тобой.","È stata un'esperienza incredibile aver esplorato questo viaggio con te."
sumiko_end3,"En honor a esta hazaña, has sido galardonado con la mitica calculadora dorada","In honor of this feat, you have been awarded the mythical golden calculator!","Em honra a essa façanha, você foi premiado com a mítica calculadora dourada!","En honor a esta hazaña, te has ganado la mítica calculadora dorada, po.","En l'honneur de cet exploit, tu as été récompensé par la mythique calculatrice dorée !","Zu Ehren dieser Leistung hast du die mythische goldene Taschenrechner gewonnen!","В честь этого подвига ты получил мифический золотой калькулятор!","In onore di questa impresa, sei stato premiato con la mitica calcolatrice dorata."
sumiko_end4,"Disfruta tu triunfo, y recuerda que siempre estare aqui para ayudarte","Enjoy your triumph, and remember that I will always be here to help you!","Aproveite seu triunfo e lembre-se de que estarei sempre aqui para te ajudar!","Disfruta tu triunfo, y acuérdate que siempre estaré aquí pa' ayudarte, po.","Profite de ton triomphe et souviens-toi que je serai toujours là pour t'aider !","Genieße deinen Triumph und denk daran, dass ich immer hier bin, um dir zu helfen!","Наслаждайся своим триумфом и помни, что я всегда буду здесь, чтобы помочь тебе!","Goditi il tuo trionfo e ricorda che sarò sempre qui per aiutarti."
sumiko_end5,"¡Gracias por jugar Calculator!","Thank you for playing Calculator!","Obrigado por jogar Calculator!","¡Gracias por jugar Calculator, weón!","Merci d'avoir joué à Calculator !","Danke, dass du Calculator gespielt hast!","Спасибо за игру в Calculator!","Grazie per aver giocato a Calculator!"
sumiko_advice1,"Recuerda, lamer picaportes es ilegal en otros planetas.","Remember, licking doorknobs is illegal on other planets.","Lembre-se, lamber maçanetas é ilegal em outros planetas.","Acuérdate, chupar manillas es ilegal en otros planetas, po.","Rappelle-toi, lécher les poignées de porte est illégal sur d'autres planètes.","Denk dran, Türklinken lecken ist auf anderen Planeten illegal.","Помни, облизывать дверные ручки на других планетах незаконно.","Ricorda, leccare le maniglie delle porte è illegale su altri pianeti."
sumiko_advice2,"En la antiguedad habia un codigo secreto con flechas y 2 letras para ser mas poderoso en los videojuegos ¿Seguira funcionando a dia de hoy?","Long ago, there was a cheat code with arrows and 2 letters to become stronger in videogames. Does it still work today?","Antigamente, havia um código secreto com setas e 2 letras para ficar mais forte nos videogames. Será que ainda funciona hoje em dia?","Antes había un código secreto con flechas y 2 letras para ser más power en los juegos. ¿Seguirá sirviendo ahora, ah?","Autrefois, il existait un code secret avec des flèches et 2 lettres pour être plus fort dans les jeux vidéo. Est-ce qu'il marche encore aujourd'hui ?","Früher gab es einen Geheimcode mit Pfeilen und 2 Buchstaben, um in Videospielen stärker zu werden. Ob der heute noch funktioniert?","Когда-то был секретный код со стрелками и 2 буквами, чтобы стать сильнее в видеоиграх. Интересно, работает он до сих пор?","Un tempo c'era un codice segreto con frecce e 2 lettere per diventare più forte nei videogiochi. Funzionerà ancora oggi?"
sumiko_advice3,Multiplica tus problemas por cero. ¡Matemáticamente ya no existen!,"Multiply your problems by zero. Now, mathematically they no longer exist!","Multiplique seus problemas por zero. Matematicamente, eles não existem mais!","Multiplica tus dramas por cero. Matemáticamente, ¡ya fueron no más!","Multiplie tes problèmes par zéro. Mathématiquement, ils n'existent plus !",Multipliziere deine Probleme mit null. Mathematisch gibt es sie dann nicht mehr!,Умножь свои проблемы на ноль. Математически их больше нет!,Moltiplica i tuoi problemi per zero. Matematicamente non esistono più!
sumiko_advice4,"Puedes cambiar el fondo de pantalla entre los que hay disponibles, !Busca el que mas te guste!",You can change the wallpaper among the available ones. Find the one you like the most!,Você pode mudar o papel de parede entre os disponíveis. Escolha o que mais gostar!,"Podís cambiar el fondo entre los que hay, así que busca el que te tinque más!",Tu peux changer le fond d'écran parmi ceux disponibles. Cherche celui qui te plaît le plus !,Du kannst das Hintergrundbild aus den verfügbaren auswählen. Such dir das schönste aus!,"Ты можешь поменять обои среди доступных. Найди те, что тебе больше всего нравятся!",Puoi cambiare lo sfondo scegliendo tra quelli disponibili. Trova quello che ti piace di più!
sumiko_advice5,¿Problemas con el amor? Usa el binomio cuadrado perfecto... ¿Qué? ¡Funciona para todo!,Love problems? Use the perfect square binomial... What? It works for everything!,Problemas de amor? Use o binômio quadrado perfeito... O quê? Funciona pra tudo!,"¿Atinao con el amor? Usa el binomio cuadrado perfecto... ¿Cómo? ¡Sirve pa' todo, créeme!",Problèmes d'amour ? Utilise le binôme carré parfait... Quoi ? Ça marche pour tout !,Liebeskummer? Nimm das binomische Quadrat... Wie bitte? Das hilft bei allem!,Проблемы с любовью? Используй формулу квадратного двучлена... Что? Она для всего подходит!,Problemi d'amore? Usa il binomio quadrato perfetto... Cosa? Funziona per tutto!
sumiko_advice6,"Revisa los creditos para conocer a los creadores de este juego, son unos genios.",Check the credits to meet the creators of this game—they're geniuses!,"Olhe os créditos para conhecer os criadores deste jogo, eles são uns gênios.","Mira los créditos pa' cachar quiénes hicieron el juego, son secos.","Regarde les crédits pour découvrir les créateurs de ce jeu, ce sont des génies.","Sieh dir die Credits an, um die genialen Entwickler dieses Spiels kennenzulernen.","Посмотри титры, чтобы познакомиться с создателями этой игры — они гении!","Dai un'occhiata ai crediti per conoscere i creatori di questo gioco, sono dei geni!"
sumiko_advice7,"Si no puedes dormir en la noche, cuenta todos los numeros de pi... ¡Es un truco infalible!","If you can't sleep at night, count all the numbers of pi... It's a foolproof trick!","Se você não consegue dormir à noite, conte todos os números de pi... É uma dica infalível!","Si no podís dormir en la noche, cuenta todos los números de pi... ¡Es un truco infalible!","Si tu n'arrives pas à dormir la nuit, compte tous les chiffres de pi... C'est infaillible !","Wenn du nachts nicht schlafen kannst, zähl alle Zahlen von Pi... Das ist ein todsicherer Trick!","Если не можешь уснуть ночью, считай все числа числа Пи... Это беспроигрышный трюк!","Se non riesci a dormire di notte, conta tutti i numeri di pi... È un trucco infallibile!"
sumiko_advice8,"Si no entiendes algo, pregunta a un adulto responsable... o a Wikipedia.","If you don't understand something, ask a responsible adult... or Wikipedia.","Se não entendeu algo, pergunte para um adulto responsável... ou para o Wikipedia.","Si no cachai algo, pregúntale a un adulto que sepa...o al Wikipedia no más.","Si tu ne comprends pas quelque chose, demande à un adulte responsable... ou à Wikipedia.","Wenn du etwas nicht verstehst, frag einen verantwortlichen Erwachsenen... oder Wikipedia.","Если что-то непонятно, спроси у взрослого... или у Wikipedia.","Se non capisci qualcosa, chiedi a un adulto responsabile... o a Wikipedia."
sumiko_advice9,"El helado napolitano es la mejor creación de la humanidad, ¡Y tiene capas de sabores!",Neapolitan ice cream is humanity's greatest creation—and it has layers of flavor!,"O sorvete napolitano é a melhor criação da humanidade, e ainda tem camadas de sabores!","El helado napolitano es lo mejor que hay, ¡y tiene caleta de sabores encima!","La glace napolitaine, c'est la meilleure invention de l'humanité, avec plein de couches de saveurs !",Neapolitanisches Eis ist die beste Erfindung der Menschheit – und hat auch noch verschiedene Schichten!,Мороженое «наполеон» — величайшее изобретение человечества! Оно такое многослойное и вкусное!,"Il gelato napoletano è la migliore creazione dell'umanità, e poi ha strati di sapore!"
sumiko_advice10,"Antes de que Calculator existiera, un conejo rosa subió un gameplay del juego a internet. ¡Su técnica fue legendaria! ¿Lograrás replicarla?","Before Calculator existed, a pink rabbit uploaded a gameplay of the game to the internet. His technique was legendary! Can you replicate it?","Antes da Calculator existir, um coelho rosa postou um gameplay do jogo na internet. Sua técnica foi lendária! Você consegue replicar?","Antes de que Calculator existiera, un conejo rosa subió un gameplay a internet. ¡Su técnica fue la raja! ¿Podrás hacer lo mismo?","Avant Calculator, un lapin rose a posté un gameplay du jeu sur internet. Sa technique était légendaire ! Pourras-tu la reproduire ?","Bevor Calculator existierte, lud ein pinkes Kaninchen ein Gameplay des Spiels hoch. Seine Technik war legendär! Schaffst du es nachzumachen?","Еще до Calculator, розовый кролик выложил геймплей игры в интернет. Его техника стала легендарной! Сможешь повторить?","Prima che esistesse Calculator, un coniglio rosa caricò un gameplay del gioco su internet. La sua tecnica era leggendaria! Riuscirai a replicarla?"
sumiko_advice11,"Trata de conseguir todos los logros del juego, ¡Una gran recompensa te espera!",Try to get all the achievements in the game—a great reward awaits you!,"Tente conseguir todas as conquistas do jogo, uma grande recompensa te espera!","Trata de sacar todos los logros del juego, ¡Hay tremendo premio esperando!","Essaie d'obtenir tous les succès du jeu, une super récompense t'attend !","Versuch, alle Erfolge im Spiel zu holen – eine tolle Belohnung wartet auf dich!",Попробуй получить все достижения в игре – тебя ждет классная награда!,Cerca di ottenere tutti i trofei del gioco: ti aspetta una grande ricompensa!
sumiko_advice12,"Dicen que si sumas dos más dos de una forma especial, puedes atrapar un pez... ¿O era un secreto matemático?","They say if you add two plus two in a special way, you can catch a fish... Or was it a math secret?","Dizem que se você somar dois mais dois de um jeito especial, dá para pegar um peixe... Ou era um segredo matemático?","Cuentan que si sumai dos más dos de una forma especial, podí agarrar un pescado... ¿O era un secreto de mate?","On dit que si tu fais 2+2 d'une façon spéciale, tu peux attraper un poisson... Ou c'était un secret mathématique ?","Man sagt, wenn du zwei plus zwei auf eine besondere Art rechnest, kannst du einen Fisch fangen... Oder war es doch ein Mathegeheimnis?","Говорят, если особым образом сложить два плюс два, можно поймать рыбу... Или это математический секрет?",Dicono che se sommi due più due in un modo speciale puoi pescare un pesce... o era un segreto matematico?
sumiko_advice13,¿Sabías que si divides por cero puedes crear un agujero negro... o solo romper la calculadora? Mejor pruébalo tú mismo.,"Did you know that if you divide by zero, you can create a black hole... or just break the calculator? Better try it yourself.",Você sabia que se dividir por zero pode criar um buraco negro... ou só travar a calculadora? Melhor testar por você mesmo!,"¿Sabíai que si dividí por cero podí hacer un hoyo negro... o puro matar la calculadora? Mejor prueba tú mismo, po.","Tu savais que si tu divises par zéro, tu peux créer un trou noir... ou juste casser la calculatrice ? Essaie toi-même !","Wusstest du, dass wenn du durch Null teilst, du ein schwarzes Loch erschaffen kannst... oder einfach nur den Taschenrechner kaputt machst? Probier's mal selbst aus!","Ты знал, что если делить на ноль, можно создать черную дыру... или просто сломать калькулятор? Лучше попробуй сам!",Sapevi che se dividi per zero potresti creare un buco nero... o semplicemente rompere la calcolatrice? Meglio che provi da solo!
sumiko_advice14,"Algunos números son mundialmente famosos por ser graciosos en internet ¿Curioso, no?","Some numbers are world-famous for being funny on the Internet. Curious, right?","Alguns números são mundialmente famosos por serem engraçados na internet. Curioso, né?","Hay unos números que son famosos en todo el mundo por ser chistosos en internet, ¿entrete, no?","Certains nombres sont mondialement connus parce qu'ils sont drôles sur Internet. Curieux, non ?","Einige Zahlen sind weltweit im Internet für ihren Spaßfaktor bekannt. Schon komisch, oder?","Некоторые числа во всём мире славятся тем, что они смешные в интернете. Забавно, да?","Alcuni numeri sono famosi in tutto il mondo per essere divertenti su Internet. Curioso, vero?"
